url,title,author,view,recommend,tag,synopsis,count,img
https://novelpia.com/novel/363736,전생자의 마법 수업,saya,"588,413","56,051","#판타지
#전생
#TS
#모험","보다 다양한 마법을 사용해보고 싶다.

단지 그뿐이었어.",79,https://images.novelpia.com/imagebox/cover/43a1ae47a852f3615b29dd0ca0f34473_238134_ori.file
https://novelpia.com/novel/211768,TS미소녀기타리스트의 수기,김취미,"6,922,727","595,680","#현대
#일상
#TS
#빙의
#밴드
#코미디
#음악
#천재
#먼치킨
#연예계","이유없이 받은 두 번째 기회.
그는 이전과는 다르게 살아보자고 생각했다.",635,https://images.novelpia.com/imagebox/cover/c90c720c6baa794dab6028f241637aa1_431354_ori.file
https://novelpia.com/novel/352560,던전 속 미치광이 과학자 아닙니다,글쓰는바라,"1,631,330","124,385","#현대판타지
#히어로
#착각
#빌런
#경영
#흑막
#집착
#먼치킨
#후회","""키시시시! 기다리고 있었습니다! 자, 어서! 그 정의로운 손길로 저를 구원하시죠! 저도 선량한 시민이랍니다!""

""시민은 무슨…! 이 난장판을 만들어 놓고 네 입에서 같은 시민이라는 단어가 나와?!""

""뭔가 오해가 있는 것 같군요. 엄밀히 따지면 그건 제가 한 게 아닌…….""

""닥쳐! 정의의 이름으로 널 용서하지 않겠다!!""

.
.
.

아니, 씨발! 나도 좀 구해달라고!!



[※표지는 '신사비' 그림 작가님의 외주작입니다. 따라서 저작권은 본 작가에게 있음을 알려드립니다.]",121,https://images.novelpia.com/imagebox/cover/a978c9b9a7b2aff5ab0c8dd11f9ab7c3_297864_ori.file
https://novelpia.com/novel/290659,무공 뭐 별거 없더라,Suerte,"8,926,605","671,979","#판타지
#하렘
#무협
#성장
#성장형
#먼치킨
#천재
#퓨전","사이비 무림에 떨어졌다.
근데 무공이 그렇게 어렵다고?
흠…, 그 정돈가?",416,https://images.novelpia.com/imagebox/cover/6922ea9abf1b159fa3fa2a2781903789_51619_ori.file
https://novelpia.com/novel/366137,이전 세대 최강의 히어로가 되었다,돌밥,"584,576","35,904","#현대판타지
#먼치킨
#히어로
#빌런
#착각
#집착
#상태창","“…최강의 히어로인 당신이, 왜 돈 한 푼 받지 않고 인류를 수호하는 겁니까! 다른 히어로들은 모두 엄청난 연봉을 받지 않습니까!”

“흐윽! 스마일 씨, 어떻게 그 많은 빌런들한테 둘러싸이고도, 끝까지 시민들을 향해 웃을 수 있는거죠…?”

씨익―.

“그야, 전 ‘히어로’니까요.”
.
.
…거짓말이다. 사실 난 히어로 따위 조금도 하고 싶은 마음이 없었다.

[보유 능력: 어떠한 피해도 무시한다. 당신은 최강의 히어로다.]

[페널티: 히어로답지 않은 행동은 전면 금지된다. 조건을 만족하기 전까진, 결코 은퇴할 수 없다.]

…저 망할 상태창만 아니었으면.",43,https://images.novelpia.com/imagebox/cover/18a73751f5b14bd1f782ecfb889dd14e_416252_ori.file
https://novelpia.com/novel/300042,잘생기면 인생이 편하다,민트초코주먹밥,"9,472,440","597,278","#현대판타지
#전생
#현대
#하렘
#일상
#회귀
#배우
#연예계
#먼치킨","잘생기면 인생이 편하다.
잘생긴 김에, 배우 해야겠다.",398,https://images.novelpia.com/imagebox/cover/2c162a920b18c201f881d39110e916c0_506669_ori.file
https://novelpia.com/novel/101172,무협 미연시의 오랑캐 글쟁이,정중선,"18,903,509","1,420,649","#무협
#하렘
#일상
#작가물
#코미디
#착각","웹소설 작가, 무협 미연시 히로인에게 살해당하는 조선인 약혼자가 되었다.

살아서 도망쳐야 한다.



- 표지는 외주작으로 저작권은 저에게 있습니다. -",788,https://images.novelpia.com/imagebox/cover/b1d53c84d0848136761e4fb6957a4653_84190_ori.file
https://novelpia.com/novel/326517,중세시대 검희가 되었다,루루챠,"2,763,795","262,694","#판타지
#TS
#먼치킨
#착각","게임 속에 빙의한지 어언 10년.
오늘도 마물을 베며 날 찬양해줄 뉴비를 기다린다.",233,https://images.novelpia.com/imagebox/cover/240598a0884a258ac15e491bf61de72d_90740_ori.file
https://novelpia.com/novel/346855,여신이 나만 애호함,미츄리,"1,166,383","129,948","#판타지
#코미디
#착각
#신화","착각 때문에 끔찍한 지옥에 취직하고 말았다.
탈출 방법은 해고 당하는 것뿐.

""조이, 너는 정말 대단하구나!""
""네가 없인 우리 회사가 안 돌아가!""

그런데 내 인사평가가 자꾸만 높아진다.
그리고 지옥의 여신님이 자꾸만 나를 과대평가 하시는데…!?",154,https://images.novelpia.com/imagebox/cover/bf7bd0307c1601acdffa51b49d0c9273_392637_ori.file
https://novelpia.com/novel/365846,아카데미 가면남이 되었다,진아린,"637,741","35,115","#판타지
#하렘
#아카데미
#먼치킨
#집착
#성장
#착각
#성장형먼치킨","가면을 쓴 캐릭터에 빙의했다.


: 【귀속】
-착용자에게 완전히 귀속됩니다.
-강탈, 이전이 불가능하며 벗는 것조차 허락되지 않습니다.


가면을 못 벗는 건 그렇다 치자.


: 【낙인】
-말을 내뱉을 시, 극심한 고통이 뒤따릅니다.


근데 말도 못 하는 건 아니지.",55,https://images.novelpia.com/imagebox/cover/b991d784de7abdc5b3f445b1dbdf0313_394373_ori.file
