url,title,authors,genre,views,likes,weekday,synopsis,tags
https://webtoon.kakao.com/content/고기자의-힘드러운-기자생활/3529,고기자의 힘드러운 기자생활,고기자,코믹/일상,28.2만,2.1만,일,"면접장에서는 따뜻한 세상과 정의를 외쳤지만, 결국 신문사도 회사고 회사는 회사였다. 출근은 5G인데 퇴근은 3G, 주말 출근은 기본에 당직은 옵션. 사건사고가 많으면 일이 늘어나니 그 어느 때보다 세상의 평화를 바란다. 그럼에도 통장에 찍히는 숫자를 보면 슬픔뿐. 그렇게 어쩔 수 없는 것들로 가득한 세상에서 벌어지는 현실적인 기자 이야기. 그래도 조금이라도 더 나아지고 싶어 하는 희망으로 헤매는 ‘기레기’와 ‘회사원’, 그 어느 중간에서 끊임없이 고민하며 살아가는 고양이 기자는 오늘도 좌충우돌 출근을 한다.","공감되는, 귀여운, 코믹/일상"
https://webtoon.kakao.com/content/고마워-다행이야/713,고마워 다행이야,장대현,로맨스,"2,589.4만","2,589",,그녀는 어떤 결정을 내릴까? 네 사람의 사랑 그 잔악한 이야기,"긴장감 있는, 몰입되는, 로맨스"
https://webtoon.kakao.com/content/고백/169,고백,"남지은, 김인호",로맨스,558.5만,1.1만,,갑작스러운 고백? 나는 네가 누군지도 잘 모른단 말이야!,"설레는, 귀여운, 로맨스"
https://webtoon.kakao.com/content/고스트-터미널/2898,고스트 터미널,"GAR2, 오쌤",판타지,815.5만,23.9만,수,망자들의 환승센터 <고스트 터미널>은 이승을 떠난 망자들이 저승으로 가기 전 반드시 들러야 하는 곳이다. 망자들은 49일간 <고스트 터미널>에 머물며 출국심사를 받고 심사가 끝난 망자들만이 저승행 배를 타고 황천을 건널 수 있다. 인천공항 폭발사고로 정신을 잃은 선우는 <고스트 터미널>에서 깨어난다. 하지만 선우는 사망하지 않은 혼수상태였고 자신이 <고스트 터미널>에 잘못 온 것을 알게 된다. 이승으로 돌아가기 위해 대기하던 선우는 인천공항에 함께 있던 아내와 딸이 아직 공항에 갇혀있다는 사실과 공항이 곧 붕괴하다는 소식을 듣게 된다. 아내와 딸이 갇힌 곳은 구조대원의 손길이 닿지 않는 외진 곳이었고 그곳의 위치는 선우만이 알고 있었다. 선우는 서둘러 이승으로 돌아가려 했지만 상황은 그의 뜻과는 다르게 흘러가고 결국 터미널에 갇히는 신세가 된다. 가족을 구하기 위해 이승으로 돌아가야 했던 선우는 죽을힘을 다해 <고스트 터미널>에서 탈출하려 한다.,"기발한, 몰입되는, 판타지 드라마"
https://webtoon.kakao.com/content/고양이-장례식/95,고양이 장례식,홍작가,드라마,"1,857만",1.8만,,"헤어진 그와 그녀, 고양이 장례식에서 만나다. 홍작가의 7부작 단편극장","감동적인, 공감되는, 드라마"
https://webtoon.kakao.com/content/고인물은-아가야/2776,고인물은 아가야,티시페,코믹/일상,50.2만,1.9만,일,"전 서버 최초로 만렙을 달성한 1위 랭커 ‘아가야’ 더 이상 경험치가 오르지 않는다는 사실에 절망하고, 온갖 해괴한 플레이를 해도 컨텐츠는 늘 부족하다. 그 순간 아가야는 드디어 해결법을 떠올린다. 바로 새 계정으로 뉴비 흉내를 해서 게임을 처음부터 다시 하는 것! 과연 아가야는 자신의 정체를 들키지 않고 게임을 할 수 있을까? 뉴비들과 놀고 싶은 고인물의 눈물겨운 똥꼬쇼!","발랄한, 웃기는, 코믹/일상"
https://webtoon.kakao.com/content/공녀님은-이상형과-결혼하기-싫어요/3337,공녀님은 이상형과 결혼하기 싫어요,"차삼, 해준, 테주, 라노브, JC미디어",로맨스 판타지,82.4만,2.9만,,"기사는, 한때 적이었던 소서러들 가운데 이상형이 있으리라고는 생각도 하지 못했다. 소서러는, 기사도의 화신 같은 여인에게 복잡다단한 이상형 행세를 하며 매달리게 될 거라고는 생각도 하지 못했다. 〈키리엘 엠페르트의 이상형〉 조건 1. 달의 빛깔을 닮은 은빛 머리카락에 짙고 푸르고 우아한 녹색 눈을 지녔을 것. 조건 2. 나긋하고 다정한 면모가 기본이지만 때로는 모두 귀찮다는 듯 권태롭고 위험한 분위기도 함께 지니고 있을 것. 조건 3. 제국 제일이라 할 만한 재주가 있을 것. 조건 4. 속내가 다 보이면 재미가 없으니 비밀도 좀 있을 것. ― 가짜 이상형을 내세운 여자와 그 가짜 이상형으로 행세하는 남자의 이야기.","가슴 먹먹한, 설레는, 로맨스 판타지"
https://webtoon.kakao.com/content/관존-이강진/2155,관존 이강진,"노경찬, 송윤달",무협,"8,300.5만",276.8만,목,미친놈인가? 아니면 흔한 관심종자인가? 사람의 다름을 이해 못 하는 제자 이강진. 그리고 그걸 이해시켜주고자 하는 스승 곽노. 두 사제師弟의 따뜻한 휴먼스토리.,"역동적인, 압도되는, 액션/무협"
https://webtoon.kakao.com/content/관찰인간/1118,관찰인간,디디,스릴러,"4,813.3만",21.4만,,이사 온 옆집 남자가 수상하다. 아귀 작가 신작,"미스테리한, 긴장감 있는, 공포/스릴러"
https://webtoon.kakao.com/content/광해이야기/532,광해이야기,DAUM WEBTOON,스릴러,805.2만,"2,432",,"2010년 여름, 만화속세상이 선보이는 공포 프로젝트 '광해'","등골 오싹한, 미스테리한, 공포/스릴러"
https://webtoon.kakao.com/content/광해이야기2/777,광해이야기2,DAUM WEBTOON,스릴러,452.1만,"1,793",,3부작 단편 광해이야기 그 두번째,"등골 오싹한, 미스테리한, 공포/스릴러"
https://webtoon.kakao.com/content/괴담콜렉터/1165,괴담콜렉터,강산,스릴러,"4,602.3만","4,602",,돈 많은 사이코패스를 감동시킬만한 이야기는 무엇일까?,"미스테리한, 등골 오싹한, 공포/스릴러"
https://webtoon.kakao.com/content/교수인형/41,교수인형,팀 겟네임,스릴러,1.4억,16.6만,,"아마추어 작가 코너 '나도 만화가', '도전 만화가'에서 폭발적인 인기를 모았던 작품","등골 오싹한, 기발한, 공포/스릴러"
https://webtoon.kakao.com/content/그루밍-선데이/736,그루밍 선데이,Hun,코믹/일상,"5,305.2만",15.4만,,Hun 작가와 작은 고양이 알콩달콩 동거 이야기,"귀여운, 공감되는, 코믹/일상"
https://webtoon.kakao.com/content/극한견주-시즌2/4217,극한견주 시즌2,"마일로, 북극여우",코믹/일상,"1,629만",94.2만,일,"나는 여전히 안락한 삶을 꿈꾼다. 듬직한 대형견과의 평화로운 산책, 반려견 동반 카페에서의 따뜻한 아아 한 잔, 포근한 침대에 나란히 누워 자고 일어나는 그런 하루를. BUT, 여전히 현실은 다르다! 대형견 솜이와 함께하는 하이퍼 리얼리즘 라이프!","귀여운, 웃기는, 코믹/일상"
https://webtoon.kakao.com/content/금안의-바리/3739,금안의 바리,하마오리,판타지,70만,1.7만,금,"천 년 전, ‘수명장자’를 앞세운 인간과 신들의 전쟁이 발발한다. 이 전쟁에서 유일하게 인간의 편에서 싸운 신이 있었으니, 그녀의 이름은 ‘오구’. 신들에게 패배한 수명장자는 만 개의 벌레로 쪼개져 세상에 흩어지고, 오구신은 윤회의 굴레에 빠지는 벌을 받게 된다. 천년의 시간이 흘러 오구신은 어린 소녀 '바리'의 몸으로 환생하고, 수명장자 역시 부활의 조짐을 보인다. 참혹한 전쟁이 두 번 일어나선 안 된다! 수명장자의 계획을 막고 천지신을 찾기 위한 바리와 오구의 여행이 시작되는데... 과연 바리는 이 여행에서 인간을 구하고 자신의 존재를 증명할 수 있을까?","몰입되는, 역동적인, 판타지 드라마"
