url,title,authors,weekday,tags,total_episodes,likes,synopsis,thumbnail_url,error
https://comic.naver.com/webtoon/list?titleId=751168,상남자,"하늘소, 도가도, 김태궁",금,"드라마, 사이다, 오피스, 청춘, 능력남, 인생역전, 직업드라마, 회귀, 두뇌싸움, 머니게임, 먼치킨, 소설원작",226,340782,"오로지 성공만을 바라보며 기업 정점의 자리까지 오른, 최고의 샐러리맨 한유현.
대가로 사랑하던 모든 이를 잃어버린 후, 후회 섞인 인생을 돌아보는데...
어느 날 모든 기억을 안은 채, 젊은 시절의 그때로 돌아가게 된다.
모든 것의 시작점인 신입사원의 위치에서, 그가 다시 삶을 설계한다!",https://shared-comic.pstatic.net/thumb/webtoon/751168/thumbnail/thumbnail_IMAG21_db791b21-1a43-4a47-bfe4-09f504e0c246.jpg,
https://comic.naver.com/webtoon/list?titleId=751999,백년게임,"하람, 지야",금,"판타지, 미래, 신화, 게임, 배틀, 성장물, 서바이벌, 세계관, 게임판타지, 이능력배틀물, 소년왕도물",273,77530,"""당신의 게임은 여기까지군요""
백 년마다 열리는 소원 그 이상을 이뤄주는 대회, 최종 우승자는 단 한 명.
소년 한시준, 가족을 구하기 위해 모든 것을 걸고 치열한 전투에 뛰어든다.",https://shared-comic.pstatic.net/thumb/webtoon/751999/thumbnail/thumbnail_IMAG21_d81aab3c-277e-4946-866d-ebb38fa246b6.jpg,
https://comic.naver.com/webtoon/list?titleId=752532,연우의 순정,이솔,화,"감성, 청춘, 햇살남, 소심남, 순정남, 다정녀, 무심녀, 능력녀, 사연녀, 성장물, 햇살캐, 러블리, 다정남, 짝사랑, 힐링, 학원물, 학원로맨스, 청춘로맨스, 걸크러시",206,277287,"여학생으로 오해받을 정도로 여리여리한 외모를 가진 연우.
그는 교내 인기스타인 강해솔을 몰래 좋아하고 있다.
하지만 낯을 굉장히 많이 가리고 소심한 연우는 같은 반인 해솔이에게 말 한 번 붙여본 적 없는데…",https://shared-comic.pstatic.net/thumb/webtoon/752532/thumbnail/thumbnail_IMAG21_e3431864-4c11-4137-993d-c06231521abb.jpg,
https://comic.naver.com/webtoon/list?titleId=753842,데빌샷,CTK,일,"판타지, 현대, 서바이벌, 오컬트, 헌터물, 이능력배틀물, 인외존재, 다크히어로, 동물, 걸크러시, 다크판타지",203,137939,"죽음을 마주한 순간,
지하세계의 왕과 계약했다.",https://shared-comic.pstatic.net/thumb/webtoon/753842/thumbnail/thumbnail_IMAG21_e0200ba5-29d5-42cf-8ba1-96ce053721fc.jpg,
https://comic.naver.com/webtoon/list?titleId=754876,카루나,강호진,목,"판타지, 액션판타지, 신화, 배틀, 마법, 소년물, 모험, 성장물, 인외존재, 소년왕도물",251,19036,"지옥의 군대와 맞서는 항마승병 카루나.
카루나에 도전하는 소년액션 모험 판타지!",https://shared-comic.pstatic.net/thumb/webtoon/754876/thumbnail/thumbnail_IMAG21_3904682673849053541.jpg,
https://comic.naver.com/webtoon/list?titleId=756140,라서드,감람,월,판타지,169,110073,"절대적 권능을 지닌 11인의 왕과, 왕을 수호하기 위한 기사단이 존재하는 세계.
수습기사 힌타는 파트너 캐넛과 함께 정식 기사가 되기 위한 모험을 떠나는데...
정식기사가 되기 위한 소년들의 고군분투 정통판타지액션!",https://shared-comic.pstatic.net/thumb/webtoon/756140/thumbnail/thumbnail_IMAG21_50527917-4994-43dd-a584-8dfbe29094d2.jpg,
https://comic.naver.com/webtoon/list?titleId=758037,참교육,"채용택, 한가람",월,"액션, 사이다, 학원액션, 자극적인, 사회고발, 참교육, 블루스트링, 학원물, 다크히어로, 먼치킨",209,962399,"무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다!
<부활남> 채용택 작가 X <신석기녀> 한가람 작가의 신작!",https://shared-comic.pstatic.net/thumb/webtoon/758037/thumbnail/thumbnail_IMAG21_15cb2611-34c0-4f02-a689-41d0b1016579.jpg,
https://comic.naver.com/webtoon/list?titleId=758150,입학용병,"YC, 락현",일,"액션, 사이다, 학원액션, 우정, 가족, 참교육, 밀리터리, 학원물, 먼치킨, 느와르",253,726636,"어린 시절 비행기 추락 사고의 유일한 생존자 유이진.
살아남기 위해 용병으로 살아가던 유이진은 10년 후, 가족이 있는 고향으로 돌아왔다.",https://shared-comic.pstatic.net/thumb/webtoon/758150/thumbnail/thumbnail_IMAG21_4135492154714961716.jpg,
https://comic.naver.com/webtoon/list?titleId=758659,오빠세끼,올리브유,목,"일상, 하이틴, 학원로맨스, 삼각관계",101,321089,"우리학교 인기남 3인방이 누군가에게는 노답 친오빠!?
주목받는건 질색! 조용하고 존재감 없는 평범한 삶을 추구하는 해주에게는 걸어만 다녀도 튀게 잘생긴 오빠들이 있다.
해주는 오빠들의 동생임을 숨기며 학교를 다니지만, 결국 들켜버리게 되는데...
과연 해주는 오빠들이 있는 학교에서 자신의 목표를 이룰수 있을까?",https://shared-comic.pstatic.net/thumb/webtoon/758659/thumbnail/thumbnail_IMAG21_e0d1374e-803b-4be3-b45c-6e4d1f4d9164.jpg,
https://comic.naver.com/webtoon/list?titleId=758675,그 기사가 레이디로 사는 법,"아인, Ink., 성혜림",금,"판타지, 혐관로맨스, 삼각관계, 빙의, 로판, 소설원작",182,253617,"가장 가까운 친우이자 믿었던 부관의 검이 내 몸을 관통했다.
다시 눈을 떴을 땐 적국의 귀족 레이디가 되어있었다.
낯설고 연약한 타인의 몸과 잃어버린 3년의 세월, 그 사이에 망해버린 나의 조국.
배신의 아픔과 정체성의 혼란으로 정신을 차릴 수가 없었다.
그러나 나는 결국 살아가기로 했다. 루시펠라 아이딘으로써, 검을 든 귀족 레이디로서.",https://shared-comic.pstatic.net/thumb/webtoon/758675/thumbnail/thumbnail_IMAG21_0a767a41-049d-4f56-ac93-b69bd2b04540.jpg,
